name,birth
John N Coleman,Canada
John Coneys,"St Johns, Canada"
Peter Pvt Colburn,Canada
George C Cooper,Canada
George Conklin,Canada
Henry Cole,Canada
Lewis Coville,Canada
Danl C Conway,Canada
John Covill,Canada
William Cook,Canada
Joseph Comfort,Canada
Thomas Collins,Canada
James Coller,Canada
John Cope,Canada
Geo W Coombs,Upper Canada
Alonzo P Connolly,Canada
Thomas Coleman,Canada
James Cook,Canada
William Cook,Canada
Henry Collins,Canada
John Collins,Canada
John W Cosgriff,Canada
I M Crawford,Canada
Antoine Cormier,"N B, Canada"
Lyman Cole,Canada
James Collins,"St Johns, Canada"
Thomas Conmay,Canada
Warren Coville,Canada
William W Crawford,Canada
Thomas Conly,Canada
J L Cooper,Canada
John Coulton,Canada
Patrick Collins,Canada
Frederick Stuart Couchman,"Cobourgh, Ont, Canada"
David T Compton,"St Johnsburg, Canada English"
John Joeph Connell,"Brockville, Canada"
Michael H Collins,Canada
Andrew Comoe,Canada
Adolphus Cozzens,Canada
Jesse D Cousser,Canada
Selestia Conreier,Canada
Albert Corey,Canada
William H Crane,Canada
Madison Colwell,Canada
Charles Collins,Canada
Frederick Connery,Canada
Freeman Cox,"Stanstead, Canada"
John Collins,Canada
Edward Corning,Canada
Thomas Conden,Canada
Thomas Cook,Canada
Daniel Crawford,Canada
Nelson Cox,Canada
Peter Mc Coy,Canada
Norman E Cook,Canada
Aaron Crandle,Canada
James Connell,Canada
Richard Cool,Canada
William Cornwell,Canada
Anthony Collins,Canada
Penge Crabtree,Canada
Hugh Conolley,Canada
Fred W Cooks,Canada
Thomas Conran,"Prince Edward Island, Canada"
Harrison J Colley,Canada
George Cook,Canada
Joseph Corbin,Canada
Charles H Combs,Canada
Alexander Coutie,Canada
George Craig,Canada
Levi Conner,Canada
William Cowan,Canada
Charles Cothard,Canada
Albert Conklin,Canada
James Conner,Canada
Robert Cramfort,Canada
John Cole,Canada
Thomas Cook,Canada
William B Cox,"St. John, New Brunswick, Canada"
Horace G Cole,"Melita, Canada"
William Commins,Canada
Timothy Connor,Canada
Isaac Corman,Canada
Benjamin Cole,Canada
Charles Cole,Canada
Arthor Cotamale,Canada
John Connell,Canada
Daniel S Colvin,Canada
James Connoly,Canada
John Combear,Canada
Havier Coutine,Canada
Harris Cook,Canada
Henry H Craggey,Canada
John Colley,Canada
William Cotton,Canada
Arthur J Conway,"Montreal, Canada"
Thomas J Cole,Canada
James Courtney,Canada
James Y Corey,Canada
Sylvester Constine,Canada
Amos J Corey,Canada
Edward Conner,Canada
Jim Corey,Canada
Gordon Douglas Cornell,Canada
Louis Cormier,Canada
Joseph Corbeil,Canada
William Coulthart,Canada
Samuel Cook,Canada
Lewis Cook,Canada
George E Crandall,Canada
Henry Craig,Canada
Allen A Craig,Canada
John Cozzens,Canada
Michael Crawley,Canada
Andrew M Connel,Canada
John Conner,Canada
Michael Conner,Canada
Robert Cowin,Canada
David Contois,Canada
Oliver Contois,Canada
Gilbar Contois,Canada
Luke Connelly,"Montreal, Canada"
John Coyn,Canada
John Conway,Canada
Madison Colwell,Canada
Freemon Cox,Canada
Peter Consedine,Canada
